AMIE,Nombre_Institucion,Provincia,Canton,Parroquia,Sostenimiento,Area,Total_Anios_Registrados,Primer_Anio,Ultimo_Anio
08B00062,ESCUELA JOSE RAMON,ESMERALDAS,ELOY ALFARO,TELEMBI,Fiscal,Rural,15,2011-2012,2025-2026
08H02178,EUGENIO ESPEJO EXTENSION ESMERALDAS,ESMERALDAS,ESMERALDAS,5 DE AGOSTO,Particular,Urbana,10,2011-2012,2020-2021
08H02182,JORGE CHIRIBOGA GUERRERO,ESMERALDAS,QUININDE,LA UNION,Fiscal,Rural,15,2011-2012,2025-2026
08H00320,JORGE ESTUPIÃAN,ESMERALDAS,ESMERALDAS,TABIAZO,Fiscal,Rural,12,2011-2012,2022-2023
08H00751,JOSE ORTIZ URRIOLA,ESMERALDAS,QUININDE,CUBE,Fiscal,Rural,15,2011-2012,2025-2026
08H02229,JUAN MANUEL DURINI,ESMERALDAS,RIOVERDE,MONTALVO (CAB EN HORQUETA),Fiscal,Rural,15,2011-2012,2025-2026
08H01258,LA CONDAMINE,ESMERALDAS,SAN LORENZO,URBINA,Fiscal,Rural,15,2011-2012,2025-2026
08H01004,LA FLORIDA,ESMERALDAS,QUININDE,MALIMPIA,Particular,Rural,10,2011-2012,2020-2021
08B00072,LANSA CHUNU TENA,ESMERALDAS,QUININDE,MALIMPIA,Fiscal,Rural,8,2011-2012,2018-2019
08H02203,LOS CEDROS,ESMERALDAS,ELOY ALFARO,ANCHAYACU,Fiscal,Rural,15,2011-2012,2025-2026
08H02230,LUZ DE AMERICA,ESMERALDAS,ESMERALDAS,MAJUA,Fiscal,Rural,15,2011-2012,2025-2026
08H02172,MARIA MAGDALENA MEJIA PINARGOTE,ESMERALDAS,ESMERALDAS,MAJUA,Particular,Rural,15,2011-2012,2025-2026
08H02141,NUEVA FORTUNA,ESMERALDAS,QUININDE,CUBE,Fiscal,Rural,15,2011-2012,2025-2026
08H02169,PACIFICO ACOSTA VELEZ,ESMERALDAS,ESMERALDAS,CHINCA,Fiscal,Rural,15,2011-2012,2025-2026
08H02183,PADRE BRUNO STRAZIERI,ESMERALDAS,QUININDE,MALIMPIA,Particular,Rural,9,2011-2012,2019-2020
08B00063,PITYASHPI,ESMERALDAS,ELOY ALFARO,TELEMBI,Fiscal,Rural,15,2011-2012,2025-2026
08H02102,PROVINCIA DE ESMERALDAS,ESMERALDAS,ESMERALDAS,ESMERALDAS,Fiscal,Urbana,13,2011-2012,2023-2024
08H00618,PULIO GARZON,ESMERALDAS,MUISNE,SAN FRANCISCO,Fiscal,Rural,15,2011-2012,2025-2026
08H01601,RAMON MOREIRA VERA,ESMERALDAS,ATACAMES,LA UNION,Fiscal,Rural,15,2011-2012,2025-2026
08H00260,SAGRADO CORAZON DE JESUS,ESMERALDAS,ESMERALDAS,MAJUA,Fiscal,Rural,15,2011-2012,2025-2026
08H02244,SIN NOMBRE  RECINTO SECADERO,ESMERALDAS,RIOVERDE,CHONTADURO,Fiscal,Rural,15,2011-2012,2025-2026
08B00077,ÃAÃI CHUNU TENA,ESMERALDAS,QUININDE,MALIMPIA,Fiscal,Rural,8,2011-2012,2018-2019
09H05994,9 DE OCTUBRE,GUAYAS,PEDRO CARBO,PEDRO CARBO,Fiscal,Urbana,15,2011-2012,2025-2026
09H01125,ABRAHAN CRUZ,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,8,2011-2012,2018-2019
09H06049,AGUSTIN GUERRERO LIZARZABURU,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,15,2011-2012,2025-2026
09H05984,ALTOS DE BUCAY,GUAYAS,GENERAL ANTONIO ELIZALDE,GENERAL ANTONIO ELIZALDE (BUCAY),Fiscal,Urbana,15,2011-2012,2025-2026
09H02249,AMERICAN SCHOOL,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,15,2011-2012,2025-2026
09H06051,ANTONIO FLORES JIJON,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,15,2011-2012,2025-2026
09H05983,BERNARDITA CORREA DELGADO,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,15,2011-2012,2025-2026
09H06040,CAJITA DE COLORES,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,15,2011-2012,2025-2026
09H06024,CAMPOVERDE,GUAYAS,SAMBORONDON,TARIFA,Particular,Rural,15,2011-2012,2025-2026
09H05978,CARLOS OLVERA OLVERA,GUAYAS,PALESTINA,PALESTINA,Fiscal,Urbana,15,2011-2012,2025-2026
09H06054,COLEGIO REPLICA VICENTE ROCAFUERTE,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,15,2011-2012,2025-2026
09H06032,DIVINO NIÃO JESUS EN HONOR A REYES,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,8,2011-2012,2018-2019
09H06150,DOLORES VEINTIMILLA DE GALINDO,GUAYAS,DURAN,ELOY ALFARO (DURAN),Fiscal,Urbana,15,2011-2012,2025-2026
09H05996,DR LUIS ALFONSO SALTOS ESPINOZA MATRIZ,GUAYAS,GUAYAQUIL,NUEVE DE OCTUBRE,Particular,Urbana,15,2011-2012,2025-2026
09H06062,DR. LUIS ALFONSO SALTOS ESPINOZA EXTENCION DR. ENRIQUE SAYAGO,GUAYAS,GUAYAQUIL,ROCA,Particular,Urbana,11,2011-2012,2021-2022
09H06061,DR. LUIS ALFONSO SALTOS ESPINOZA EXTENCION MANUEL MESTANZA ONOFRE,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,15,2011-2012,2025-2026
09H06027,ECUADOR LATINO,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,11,2011-2012,2021-2022
09H06070,EL GRAN MANDAMIENTO,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,15,2011-2012,2025-2026
09H05965,GRAL ANTONIO JOSE DE SUCRE,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,12,2011-2012,2022-2023
09H05820,HISPANOAMERICANO,GUAYAS,GUAYAQUIL,NUEVE DE OCTUBRE,Particular,Urbana,15,2011-2012,2025-2026
09H05934,JAIME ROLDOS AGUILERA,GUAYAS,NARANJAL,TAURA,Fiscal,Rural,15,2011-2012,2025-2026
09H06050,JOSE MARIA URBINA VITERI,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,15,2011-2012,2025-2026
09H06118,JOSE MARTI,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,15,2011-2012,2025-2026
09H06048,JUAN JAVIER ESPINOZA,GUAYAS,GUAYAQUIL,TARQUI,Fiscal,Urbana,15,2011-2012,2025-2026
09H02953,LA ESPERANZA,GUAYAS,BALZAR,BALZAR,Fiscal,Urbana,15,2011-2012,2025-2026
09H05334,LA TIERRA ES VIDA,GUAYAS,SALITRE,GENERAL VERNAZA (DOS ESTEROS),Municipal,Rural,15,2011-2012,2025-2026
09H06023,LUZ DE ESPERANZA,GUAYAS,PEDRO CARBO,SABANILLA,Municipal,Rural,15,2011-2012,2025-2026
09H05979,MANUEL GENARO ANCHUNDIA,GUAYAS,EL EMPALME,GUAYAS (PUEBLO NUEVO),Fiscal,Rural,15,2011-2012,2025-2026
09H06144,MARIA DE LOS ANGELES,GUAYAS,PEDRO CARBO,PEDRO CARBO,Fiscal,Urbana,15,2011-2012,2025-2026
09H06011,NUEVA ESPERANZA,GUAYAS,SALITRE,LA VICTORIA (ÃAUZA),Fiscal,Rural,15,2011-2012,2025-2026
09H05985,PUERTO ZAPOTE,GUAYAS,GUAYAQUIL,PUNA,Fiscal,Rural,15,2011-2012,2025-2026
09H06147,RAYITO DE SOL DE LA MAÃANA,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,15,2011-2012,2025-2026
09H06132,SANTA ANA DE SALITRE,GUAYAS,SALITRE,JUNQUILLAL,Municipal,Rural,15,2011-2012,2025-2026
09H02413,SEGUIDORES DE JESUS,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,15,2011-2012,2025-2026
09H06038,SEMILLERO DEL APRENDIZAJE,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,11,2011-2012,2021-2022
09H06080,SIN NOMBRE N.51,GUAYAS,PALESTINA,PALESTINA,Fiscal,Urbana,15,2011-2012,2025-2026
09H06130,SOFOS,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,15,2011-2012,2025-2026
09H05980,SOLER LUX DEI,GUAYAS,SAMBORONDON,TARIFA,Particular,Rural,15,2011-2012,2025-2026
09H05987,SRA. MARIA ENGRACIA,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,15,2011-2012,2025-2026
09H00763,TALMUD DE JEHOVA,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,10,2011-2012,2020-2021
09H06039,TIA AMPARITO,GUAYAS,GUAYAQUIL,FEBRES CORDERO,Particular,Urbana,15,2011-2012,2025-2026
09H06025,TIA MARUJITA,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,15,2011-2012,2025-2026
09H06021,TIA NENA,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,11,2011-2012,2021-2022
09H06017,U.F.A.INSTITUTO SUAREZ,GUAYAS,GUAYAQUIL,NUEVE DE OCTUBRE,Particular,Urbana,15,2011-2012,2025-2026
09H04121,UNIDAD A DISTANCIA EUGENIO ESPEJO EXTENCION 04 U,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,7,2011-2012,2017-2018
09H06121,UNIDAD DE FORMACION ARTESANAL GUAYAQUIL,GUAYAS,GUAYAQUIL,XIMENA,Particular,Urbana,10,2011-2012,2020-2021
09H06096,UNIDAD EDUCATIVA A DISTANCIA DR. EUGENIO ESPEJO 13U,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,7,2011-2012,2017-2018
09H06092,UNIDAD EDUCATIVA A DISTANCIA DR. EUGENIO ESPEJO ESTENSION 12U,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,7,2011-2012,2017-2018
09H06099,UNIDAD EDUCATIVA A DISTANCIA DR. EUGENIO ESPEJO EXTENSION 15U,GUAYAS,GUAYAQUIL,TARQUI,Particular,Urbana,7,2011-2012,2017-2018
09H03753,UNIDAD EDUCATIVA A DISTANCIA GENERAL ANTONIO ELIZALDE EXT NARANJAL 2,GUAYAS,NARANJAL,NARANJAL,Particular,Urbana,9,2011-2012,2019-2020
